,Gemeente,Bevolking,Laag,Middelbaar,Hoog,Gemeentecode
4751,Sliedrecht                                        ,18140,36.3,45.4,18.3,0610
4789,Cromstrijen                                       ,9800,27.3,50.1,22.6,0611
4801,Albrandswaard                                     ,18950,24.9,44.7,30.4,0613
4835,Westvoorne                                        ,10965,25.9,45.7,28.4,0614
4854,Strijen                                           ,6915,31,48.7,20.3,0617
4869,Vianen                                            ,15255,33.6,43.4,23.1,0620
4890,Vlaardingen                                       ,53735,35.5,44.3,20.2,0622
4939,Voorschoten                                       ,18210,21.2,35.4,43.4,0626
4953,Waddinxveen                                       ,20860,30.5,45.1,24.4,0627
4980,Wassenaar                                         ,18370,24.7,36.3,39,0629
5004,Woerden                                           ,38780,26.8,41.9,31.3,0632
5044,Zoetermeer                                        ,95325,28,43.8,28.1,0637
5080,Zoeterwoude                                       ,6440,27.5,42.5,30,0638
5108,Zwijndrecht                                       ,32725,33.7,46.8,19.4,0642
5210,Giessenlanden                                     ,11000,31.6,47.8,20.6,0689
5244,Zederik                                           ,10295,32.2,47.4,20.3,0707
5276,De Ronde Venen                                    ,33370,27.1,42.8,30.1,0736
5310,Waterland                                         ,12770,23.2,41.9,34.9,0852
5336,Wormerland                                        ,12245,27,49.5,23.5,0880
5354,Lelystad                                          ,59405,33.3,45.2,21.5,0995
5534,Teylingen                                         ,27730,24.8,43.1,32.1,1525
5549,Utrechtse Heuvelrug                               ,35865,24.1,36.8,39,1581
5587,Koggenland                                        ,17150,29.4,46.8,23.8,1598
5614,Lansingerland                                     ,44415,26.3,39.2,34.5,1621
5692,Wijdemeren                                        ,17825,26.8,42.4,30.8,1696
5717,Westland                                          ,81990,31.4,45.9,22.7,1783
5801,Midden-Delfland                                   ,14445,24.8,40.8,34.5,1842
5817,Kaag en Braassem                                  ,20370,30.7,46.1,23.3,1884
5850,Zuidplas                                          ,31715,30.3,42.6,27.1,1892
5908,Bodegraven-Reeuwijk                               ,25405,29.7,42.8,27.5,1901
5955,Stichtse Vecht                                    ,48345,27.6,39.8,32.7,1904
6065,Hollands Kroon                                    ,36115,30.6,50.5,18.9,1911
6122,Leidschendam-Voorburg                             ,55210,24.7,37.8,37.5,1916
6164,Goeree-Overflakkee                                ,36905,33.3,47.1,19.6,1924
6237,Pijnacker-Nootdorp                                ,39625,24.2,38.7,37.2,1926
6270,Molenwaard                                        ,21450,32.5,49.6,17.9,1927
6312,Nissewaard                                        ,65095,32.5,49.8,17.7,1930
6425,Krimpenerwaard                                    ,41645,32.6,45.1,22.3,1931
6506,Gooise Meren                                      ,40755,21.1,34.7,44.2,1942
