"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"0";"NL00      ";"NL00      ";" 3746290";" 5475310";" 3988760"
"1";"GM1680    ";"GM1680    ";"    4810";"    8650";"    5790"
"2";"WK168000  ";"WK168000  ";"     550";"    1290";"     810"
"3";"BU16800000";"BU16800000";"     530";"    1230";"     780"
"4";"BU16800009";"BU16800009";"      30";"      60";"      40"
"5";"WK168001  ";"WK168001  ";"     190";"     590";"     330"
"6";"BU16800100";"BU16800100";"     170";"     510";"     280"
"7";"BU16800109";"BU16800109";"      20";"      80";"      50"
"8";"WK168002  ";"WK168002  ";"      90";"     130";"     130"
"9";"BU16800200";"BU16800200";"      60";"      90";"     110"
"10";"BU16800209";"BU16800209";"      30";"      40";"      20"
"11";"WK168003  ";"WK168003  ";"      30";"     200";"     110"
"12";"BU16800300";"BU16800300";"       .";"       .";"       ."
"13";"BU16800309";"BU16800309";"       .";"       .";"       ."
"14";"WK168004  ";"WK168004  ";"      30";"      90";"      90"
"15";"BU16800400";"BU16800400";"       .";"       .";"       ."
"16";"BU16800409";"BU16800409";"       .";"       .";"       ."
"17";"WK168005  ";"WK168005  ";"      60";"     140";"     250"
"18";"BU16800500";"BU16800500";"      50";"     130";"     230"
"19";"BU16800509";"BU16800509";"      10";"      10";"      20"
"20";"WK168006  ";"WK168006  ";"      90";"     180";"     100"
"21";"BU16800600";"BU16800600";"       .";"       .";"       ."
"22";"BU16800609";"BU16800609";"       .";"       .";"       ."
"23";"WK168007  ";"WK168007  ";"      40";"      60";"      30"
"24";"BU16800700";"BU16800700";"      40";"      60";"      30"
"25";"BU16800709";"BU16800709";"       .";"       .";"       ."
"26";"WK168008  ";"WK168008  ";"      20";"      20";"      40"
"27";"BU16800800";"BU16800800";"       .";"       .";"       ."
"28";"BU16800809";"BU16800809";"       .";"       .";"       ."
"29";"WK168009  ";"WK168009  ";"      20";"      30";"      60"
"30";"BU16800900";"BU16800900";"       .";"       .";"       ."
"31";"BU16800909";"BU16800909";"       .";"       .";"       ."
"32";"WK168011  ";"WK168011  ";"     100";"     150";"      80"
"33";"BU16801100";"BU16801100";"       .";"       .";"       ."
