"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"0";"NL00      ";"NL00      ";" 3565510";" 5520240";" 4215660"
"1";"GM1680    ";"GM1680    ";"    4300";"    8860";"    5970"
"2";"WK168000  ";"WK168000  ";"     560";"    1220";"     870"
"3";"BU16800000";"BU16800000";"     530";"    1160";"     820"
"4";"BU16800009";"BU16800009";"      30";"      60";"      50"
"5";"WK168001  ";"WK168001  ";"     220";"     590";"     320"
"6";"BU16800100";"BU16800100";"     200";"     510";"     270"
"7";"BU16800109";"BU16800109";"      20";"      80";"      60"
"8";"WK168002  ";"WK168002  ";"      60";"     100";"     140"
"9";"BU16800200";"BU16800200";"      50";"      80";"     110"
"10";"BU16800209";"BU16800209";"      10";"      20";"      30"
"11";"WK168003  ";"WK168003  ";"      30";"     160";"     140"
"12";"BU16800300";"BU16800300";"       .";"       .";"       ."
"13";"BU16800309";"BU16800309";"       .";"       .";"       ."
"14";"WK168004  ";"WK168004  ";"      40";"      70";"     100"
"15";"BU16800400";"BU16800400";"       .";"       .";"       ."
"16";"BU16800409";"BU16800409";"       .";"       .";"       ."
"17";"WK168005  ";"WK168005  ";"      70";"     150";"     230"
"18";"BU16800500";"BU16800500";"      50";"     140";"     210"
"19";"BU16800509";"BU16800509";"      20";"      10";"      20"
"20";"WK168006  ";"WK168006  ";"      80";"     180";"     120"
"21";"BU16800600";"BU16800600";"       .";"       .";"       ."
"22";"BU16800609";"BU16800609";"       .";"       .";"       ."
"23";"WK168007  ";"WK168007  ";"      40";"      60";"      30"
"24";"BU16800700";"BU16800700";"      40";"      60";"      30"
"25";"BU16800709";"BU16800709";"       .";"       .";"       ."
"26";"WK168008  ";"WK168008  ";"      20";"      30";"      30"
"27";"BU16800800";"BU16800800";"       .";"       .";"       ."
"28";"BU16800809";"BU16800809";"       .";"       .";"       ."
"29";"WK168009  ";"WK168009  ";"      20";"      30";"      50"
"30";"BU16800900";"BU16800900";"       .";"       .";"       ."
"31";"BU16800909";"BU16800909";"       .";"       .";"       ."
"32";"WK168011  ";"WK168011  ";"      80";"     160";"      90"
"33";"BU16801100";"BU16801100";"       .";"       .";"       ."
"34";"BU16801109";"BU16801109";"       .";"       .";"       ."
"35";"WK168012  ";"WK168012  ";"      60";"     100";"      40"
"36";"BU16801200";"BU16801200";"       .";"       .";"       ."
"37";"BU16801209";"BU16801209";"       .";"       .";"       ."
"38";"WK168013  ";"WK168013  ";"      20";"      40";"      50"
"39";"BU16801300";"BU16801300";"       .";"       .";"       ."
"40";"BU16801309";"BU16801309";"       .";"       .";"       ."
"41";"WK168014  ";"WK168014  ";"     350";"     570";"     440"
"42";"BU16801400";"BU16801400";"     280";"     450";"     350"
"43";"BU16801401";"BU16801401";"      20";"      40";"      40"
"44";"BU16801409";"BU16801409";"      50";"      80";"      40"
"45";"WK168015  ";"WK168015  ";"     440";"     690";"     310"
"46";"BU16801500";"BU16801500";"     430";"     670";"     300"
"47";"BU16801501";"BU16801501";"      10";"      20";"      10"
"48";"BU16801509";"BU16801509";"       .";"       .";"       ."
"49";"WK168016  ";"WK168016  ";"     130";"     310";"     100"
"50";"BU16801600";"BU16801600";"     130";"     270";"     100"
"51";"BU16801601";"BU16801601";"       .";"       .";"       ."
"52";"BU16801609";"BU16801609";"       .";"       .";"       ."
"53";"WK168017  ";"WK168017  ";"     780";"    1710";"    1100"
"54";"BU16801700";"BU16801700";"     770";"    1690";"    1010"
"55";"BU16801709";"BU16801709";"      10";"      30";"      90"
"56";"WK168018  ";"WK168018  ";"     330";"     450";"     220"
"57";"BU16801800";"BU16801800";"     200";"     220";"     110"
"58";"BU16801801";"BU16801801";"      20";"      40";"      20"
"59";"BU16801802";"BU16801802";"      90";"     100";"      20"
"60";"BU16801809";"BU16801809";"      20";"      90";"      60"
"61";"WK168019  ";"WK168019  ";"     720";"    1670";"    1140"
"62";"BU16801900";"BU16801900";"     560";"    1180";"     820"
"63";"BU16801901";"BU16801901";"      30";"      60";"      40"
