"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"64";"BU16801902";"BU16801902";"       .";"       .";"       ."
"65";"BU16801903";"BU16801903";"      10";"      40";"      20"
"66";"BU16801908";"BU16801908";"     110";"     320";"     180"
"67";"BU16801909";"BU16801909";"      20";"      50";"      50"
"68";"WK168020  ";"WK168020  ";"     190";"     400";"     290"
"69";"BU16802000";"BU16802000";"     100";"     220";"     170"
"70";"BU16802001";"BU16802001";"      30";"      60";"      50"
"71";"BU16802008";"BU16802008";"      20";"      10";"      10"
"72";"BU16802009";"BU16802009";"      40";"     110";"      50"
"73";"WK168021  ";"WK168021  ";"      50";"     190";"     170"
"74";"BU16802100";"BU16802100";"      40";"      90";"      90"
"75";"BU16802101";"BU16802101";"      10";"      40";"      30"
"76";"BU16802109";"BU16802109";"      10";"      60";"      40"
"77";"GM0358    ";"GM0358    ";"    6690";"   10430";"    6820"
"78";"WK035800  ";"WK035800  ";"    2690";"    4030";"    2580"
"79";"BU03580000";"BU03580000";"     540";"     770";"     710"
"80";"BU03580001";"BU03580001";"    1490";"    2090";"    1270"
"81";"BU03580004";"BU03580004";"     510";"     870";"     380"
"82";"BU03580005";"BU03580005";"     140";"     300";"     230"
"83";"WK035801  ";"WK035801  ";"    1900";"    3170";"    1900"
"84";"BU03580100";"BU03580100";"    1900";"    3170";"    1900"
"85";"WK035802  ";"WK035802  ";"    2100";"    3230";"    2340"
"86";"BU03580200";"BU03580200";"     200";"     390";"     150"
"87";"BU03580201";"BU03580201";"     220";"     360";"     290"
"88";"BU03580205";"BU03580205";"    1600";"    2340";"    1770"
"89";"BU03580206";"BU03580206";"      70";"     130";"     140"
"90";"GM0197    ";"GM0197    ";"    5840";"    9900";"    4380"
"91";"WK019701  ";"WK019701  ";"     790";"    1560";"     750"
"92";"BU01970101";"BU01970101";"      10";"      60";"      20"
"93";"BU01970102";"BU01970102";"     150";"     130";"     100"
"94";"BU01970103";"BU01970103";"      80";"     140";"      60"
"95";"BU01970104";"BU01970104";"      60";"     210";"      90"
"96";"BU01970105";"BU01970105";"      20";"      60";"      30"
"97";"BU01970106";"BU01970106";"      20";"      60";"      40"
"98";"BU01970107";"BU01970107";"      60";"      90";"      60"
"99";"BU01970108";"BU01970108";"     110";"     290";"      80"
"100";"BU01970109";"BU01970109";"      30";"      50";"      10"
"101";"BU01970110";"BU01970110";"     100";"     220";"     170"
"102";"BU01970111";"BU01970111";"     110";"     220";"      70"
"103";"BU01970112";"BU01970112";"      20";"      30";"      20"
"104";"WK019702  ";"WK019702  ";"     360";"     760";"     380"
"105";"BU01970201";"BU01970201";"      30";"      80";"      50"
"106";"BU01970202";"BU01970202";"      40";"      80";"      40"
"107";"BU01970203";"BU01970203";"      10";"      20";"      30"
"108";"BU01970204";"BU01970204";"     270";"     570";"     270"
"109";"WK019703  ";"WK019703  ";"    2760";"    4620";"    2050"
"110";"BU01970301";"BU01970301";"     460";"     710";"     300"
"111";"BU01970302";"BU01970302";"     570";"     910";"     320"
"112";"BU01970303";"BU01970303";"     340";"     640";"     220"
"113";"BU01970304";"BU01970304";"     560";"     870";"     480"
"114";"BU01970305";"BU01970305";"     130";"     320";"     240"
"115";"BU01970306";"BU01970306";"     190";"     440";"     130"
"116";"BU01970307";"BU01970307";"     520";"     710";"     360"
"117";"WK019704  ";"WK019704  ";"    1920";"    2970";"    1200"
"118";"BU01970400";"BU01970400";"     740";"     910";"     290"
"119";"BU01970401";"BU01970401";"     410";"     640";"     280"
"120";"BU01970402";"BU01970402";"     550";"     910";"     390"
"121";"BU01970403";"BU01970403";"      70";"     150";"      50"
"122";"BU01970408";"BU01970408";"      50";"      90";"      50"
"123";"BU01970409";"BU01970409";"     100";"     270";"     130"
"124";"GM0059    ";"GM0059    ";"    7190";"   10170";"    3350"
"125";"WK005900  ";"WK005900  ";"    2960";"    4310";"    1550"
"126";"BU00590000";"BU00590000";"    1050";"    1680";"     930"
"127";"BU00590001";"BU00590001";"     320";"     350";"      80"
"128";"BU00590002";"BU00590002";"     600";"     810";"     140"
"129";"BU00590003";"BU00590003";"     490";"     610";"      80"
"130";"BU00590004";"BU00590004";"     140";"     300";"      80"
"131";"BU00590005";"BU00590005";"     170";"     230";"     120"
"132";"BU00590006";"BU00590006";"      10";"      50";"      10"
"133";"BU00590007";"BU00590007";"      90";"     150";"      40"
"134";"BU00590008";"BU00590008";"      70";"      90";"      40"
"135";"BU00590009";"BU00590009";"      10";"      30";"      10"
"136";"WK005901  ";"WK005901  ";"     820";"    1300";"     370"
"137";"BU00590100";"BU00590100";"      80";"     100";"      20"
"138";"BU00590102";"BU00590102";"     370";"     580";"     180"
"139";"BU00590103";"BU00590103";"     280";"     430";"     100"
"140";"BU00590107";"BU00590107";"      20";"      20";"      10"
"141";"BU00590108";"BU00590108";"      20";"     100";"      40"
"142";"BU00590109";"BU00590109";"      50";"      80";"      20"
"143";"WK005902  ";"WK005902  ";"    3410";"    4560";"    1430"
"144";"BU00590200";"BU00590200";"    1390";"    1910";"     650"
"145";"BU00590201";"BU00590201";"    1210";"    1470";"     300"
"146";"BU00590202";"BU00590202";"     220";"     330";"     130"
"147";"BU00590203";"BU00590203";"     260";"     250";"      60"
"148";"BU00590206";"BU00590206";"      60";"     190";"      70"
"149";"BU00590207";"BU00590207";"      90";"      90";"      60"
"150";"BU00590208";"BU00590208";"      70";"     150";"      80"
"151";"BU00590209";"BU00590209";"      90";"     180";"      90"
"152";"GM0482    ";"GM0482    ";"    4450";"    6730";"    3150"
"153";"WK048201  ";"WK048201  ";"     920";"    1620";"     820"
"154";"BU04820101";"BU04820101";"     160";"     250";"     190"
"155";"BU04820102";"BU04820102";"     170";"     190";"      70"
"156";"BU04820103";"BU04820103";"     280";"     600";"     270"
"157";"BU04820104";"BU04820104";"     110";"     190";"      90"
"158";"BU04820105";"BU04820105";"     180";"     410";"     200"
"159";"WK048202  ";"WK048202  ";"     840";"    1310";"     630"
"160";"BU04820201";"BU04820201";"     120";"     170";"     150"
"161";"BU04820202";"BU04820202";"     280";"     490";"     150"
"162";"BU04820203";"BU04820203";"       .";"       .";"       ."
"163";"BU04820204";"BU04820204";"       .";"       .";"       ."
"164";"BU04820205";"BU04820205";"     190";"     310";"     120"
"165";"BU04820206";"BU04820206";"     150";"     180";"     110"
"166";"WK048203  ";"WK048203  ";"    1780";"    2640";"    1130"
"167";"BU04820301";"BU04820301";"     180";"     370";"     200"
"168";"BU04820302";"BU04820302";"      80";"     240";"     150"
"169";"BU04820303";"BU04820303";"     250";"     320";"     200"
"170";"BU04820304";"BU04820304";"     180";"     260";"     150"
"171";"BU04820305";"BU04820305";"     260";"     270";"      90"
"172";"BU04820306";"BU04820306";"     400";"     550";"     170"
"173";"BU04820307";"BU04820307";"     430";"     630";"     160"
"174";"WK048204  ";"WK048204  ";"     810";"    1080";"     540"
"175";"BU04820401";"BU04820401";"     240";"     380";"     190"
"176";"BU04820402";"BU04820402";"     430";"     490";"     220"
"177";"BU04820403";"BU04820403";"      40";"      80";"     110"
"178";"BU04820404";"BU04820404";"     110";"     120";"      10"
"179";"WK048205  ";"WK048205  ";"      30";"      10";"      10"
"180";"BU04820501";"BU04820501";"       .";"       .";"       ."
"181";"BU04820502";"BU04820502";"       .";"       .";"       ."
"182";"BU04820503";"BU04820503";"       .";"       .";"       ."
"183";"WK048206  ";"WK048206  ";"      70";"      70";"      30"
"184";"BU04820601";"BU04820601";"       .";"       .";"       ."
"185";"BU04820602";"BU04820602";"       .";"       .";"       ."
"186";"BU04820603";"BU04820603";"       .";"       .";"       ."
"187";"BU04820604";"BU04820604";"      40";"      40";"      20"
"188";"GM0613    ";"GM0613    ";"    4640";"    8430";"    6320"
"189";"WK061301  ";"WK061301  ";"     450";"     990";"     670"
"190";"BU06130101";"BU06130101";"     400";"     900";"     600"
"191";"BU06130102";"BU06130102";"      20";"      20";"      20"
"192";"BU06130103";"BU06130103";"      20";"       0";"      20"
"193";"BU06130104";"BU06130104";"      10";"      60";"      30"
"194";"WK061302  ";"WK061302  ";"     330";"     650";"     510"
"195";"BU06130205";"BU06130205";"     330";"     640";"     500"
"196";"BU06130207";"BU06130207";"       .";"      10";"      20"
"197";"WK061303  ";"WK061303  ";"    1560";"    2300";"    1460"
"198";"BU06130308";"BU06130308";"     200";"     320";"     200"
"199";"BU06130309";"BU06130309";"     340";"     650";"     450"
"200";"BU06130310";"BU06130310";"     160";"     260";"     230"
"201";"BU06130311";"BU06130311";"     520";"     840";"     460"
"202";"BU06130312";"BU06130312";"     320";"     220";"     110"
"203";"BU06130313";"BU06130313";"      20";"      20";"      10"
"204";"WK061304  ";"WK061304  ";"     990";"    1950";"    1820"
"205";"BU06130414";"BU06130414";"     220";"     460";"     420"
"206";"BU06130415";"BU06130415";"     200";"     310";"     380"
"207";"BU06130416";"BU06130416";"      20";"      40";"      70"
"208";"BU06130417";"BU06130417";"     160";"     280";"     170"
"209";"BU06130418";"BU06130418";"     190";"     340";"     470"
"210";"BU06130419";"BU06130419";"     170";"     470";"     270"
"211";"BU06130420";"BU06130420";"      50";"      40";"      40"
"212";"WK061305  ";"WK061305  ";"      30";"     120";"      60"
"213";"BU06130521";"BU06130521";"       .";"       .";"       ."
"214";"BU06130522";"BU06130522";"       .";"       .";"       ."
"215";"WK061306  ";"WK061306  ";"    1270";"    2420";"    1810"
"216";"BU06130623";"BU06130623";"     420";"     680";"     550"
"217";"BU06130624";"BU06130624";"     240";"     510";"     460"
"218";"BU06130625";"BU06130625";"      30";"      30";"      30"
"219";"BU06130626";"BU06130626";"     580";"    1220";"     750"
"220";"WK061307  ";"WK061307  ";"       .";"       .";"       ."
"221";"BU06130706";"BU06130706";"       .";"       .";"       ."
"222";"GM0361    ";"GM0361    ";"   21710";"   35760";"   26620"
"223";"WK036101  ";"WK036101  ";"    2330";"    3920";"    4220"
"224";"BU03610100";"BU03610100";"     590";"     550";"     270"
"225";"BU03610101";"BU03610101";"     230";"     370";"     280"
"226";"BU03610102";"BU03610102";"     390";"     710";"     490"
"227";"BU03610103";"BU03610103";"     270";"     230";"     130"
"228";"BU03610104";"BU03610104";"     100";"     280";"     710"
"229";"BU03610105";"BU03610105";"     170";"     380";"     590"
"230";"BU03610106";"BU03610106";"     140";"     360";"     430"
"231";"BU03610107";"BU03610107";"      70";"     120";"     200"
"232";"BU03610108";"BU03610108";"     250";"     570";"     490"
"233";"BU03610109";"BU03610109";"     150";"     370";"     570"
"234";"WK036102  ";"WK036102  ";"    2580";"    4200";"    3280"
"235";"BU03610200";"BU03610200";"     380";"     660";"     680"
"236";"BU03610201";"BU03610201";"     350";"     690";"     520"
"237";"BU03610202";"BU03610202";"     300";"     540";"     500"
"238";"BU03610203";"BU03610203";"     400";"     580";"     390"
"239";"BU03610204";"BU03610204";"     670";"     670";"     330"
"240";"BU03610205";"BU03610205";"      70";"     180";"     120"
"241";"BU03610206";"BU03610206";"     210";"     400";"     250"
"242";"BU03610208";"BU03610208";"     180";"     430";"     490"
"243";"BU03610209";"BU03610209";"      10";"      30";"       0"
"244";"WK036103  ";"WK036103  ";"    2380";"    2660";"    1150"
"245";"BU03610300";"BU03610300";"     760";"     860";"     510"
"246";"BU03610301";"BU03610301";"       .";"       .";"       ."
"247";"BU03610302";"BU03610302";"    1120";"     920";"     230"
"248";"BU03610303";"BU03610303";"     250";"     510";"     230"
"249";"BU03610308";"BU03610308";"       .";"       .";"       ."
"250";"BU03610309";"BU03610309";"       .";"       .";"       ."
"251";"WK036104  ";"WK036104  ";"    2340";"    3820";"    3190"
"252";"BU03610400";"BU03610400";"     970";"    1070";"     470"
"253";"BU03610401";"BU03610401";"     630";"    1200";"     890"
"254";"BU03610402";"BU03610402";"     250";"     420";"     450"
"255";"BU03610403";"BU03610403";"     190";"     490";"     640"
"256";"BU03610404";"BU03610404";"     210";"     540";"     700"
"257";"BU03610409";"BU03610409";"      70";"     110";"      70"
"258";"WK036105  ";"WK036105  ";"    1610";"    2390";"    1530"
"259";"BU03610500";"BU03610500";"     630";"     920";"     450"
"260";"BU03610501";"BU03610501";"     160";"     160";"      40"
"261";"BU03610502";"BU03610502";"     450";"     680";"     670"
"262";"BU03610503";"BU03610503";"     380";"     650";"     360"
"263";"WK036106  ";"WK036106  ";"    3490";"    5410";"    3130"
"264";"BU03610600";"BU03610600";"     870";"    1220";"     840"
"265";"BU03610601";"BU03610601";"     630";"    1060";"     700"
"266";"BU03610602";"BU03610602";"     650";"    1170";"     590"
"267";"BU03610603";"BU03610603";"     680";"    1140";"     680"
"268";"BU03610604";"BU03610604";"     670";"     820";"     320"
"269";"WK036107  ";"WK036107  ";"    2860";"    4590";"    2580"
"270";"BU03610700";"BU03610700";"     790";"     830";"     570"
"271";"BU03610701";"BU03610701";"     680";"    1020";"     520"
"272";"BU03610702";"BU03610702";"       .";"       .";"       ."
"273";"BU03610703";"BU03610703";"     480";"     920";"     450"
"274";"BU03610704";"BU03610704";"     440";"     930";"     550"
"275";"BU03610709";"BU03610709";"       .";"       .";"       ."
"276";"WK036108  ";"WK036108  ";"    1170";"    3020";"    3460"
"277";"BU03610800";"BU03610800";"     380";"    1010";"    1240"
"278";"BU03610801";"BU03610801";"     390";"    1120";"    1270"
"279";"BU03610802";"BU03610802";"     330";"     720";"     780"
"280";"BU03610803";"BU03610803";"      70";"     170";"     170"
"281";"WK036109  ";"WK036109  ";"    1040";"    2040";"    1210"
"282";"BU03610900";"BU03610900";"     150";"     190";"     130"
"283";"BU03610901";"BU03610901";"      10";"      20";"      30"
"284";"BU03610902";"BU03610902";"     350";"     730";"     500"
"285";"BU03610903";"BU03610903";"     200";"     530";"     220"
"286";"BU03610904";"BU03610904";"     140";"     240";"     110"
"287";"BU03610905";"BU03610905";"      40";"      70";"      80"
"288";"BU03610906";"BU03610906";"     150";"     250";"     140"
"289";"WK036110  ";"WK036110  ";"    1060";"    2400";"    1480"
"290";"BU03611000";"BU03611000";"      10";"      20";"      40"
"291";"BU03611001";"BU03611001";"     160";"     260";"     180"
"292";"BU03611002";"BU03611002";"     180";"     290";"     160"
"293";"BU03611003";"BU03611003";"     610";"    1540";"     960"
"294";"BU03611004";"BU03611004";"      10";"      60";"      50"
"295";"BU03611005";"BU03611005";"      30";"      90";"      40"
"296";"BU03611006";"BU03611006";"      60";"     130";"      60"
"297";"WK036111  ";"WK036111  ";"     750";"    1300";"    1500"
"298";"BU03611100";"BU03611100";"     550";"     880";"    1030"
"299";"BU03611101";"BU03611101";"     200";"     420";"     470"
"300";"GM0141    ";"GM0141    ";"   18510";"   24710";"   12040"
"301";"WK014110  ";"WK014110  ";"    1400";"    1720";"     920"
"302";"BU01411000";"BU01411000";"     470";"     730";"     450"
"303";"BU01411001";"BU01411001";"     270";"     380";"     280"
"304";"BU01411002";"BU01411002";"     360";"     210";"     110"
"305";"BU01411003";"BU01411003";"     280";"     420";"      80"
"306";"WK014111  ";"WK014111  ";"    2280";"    2500";"     830"
"307";"BU01411100";"BU01411100";"     390";"     330";"      90"
"308";"BU01411101";"BU01411101";"     320";"     530";"     260"
"309";"BU01411102";"BU01411102";"     290";"     470";"     200"
"310";"BU01411103";"BU01411103";"     690";"     730";"     180"
"311";"BU01411104";"BU01411104";"     520";"     400";"      90"
"312";"BU01411105";"BU01411105";"       .";"       .";"       ."
"313";"BU01411109";"BU01411109";"      10";"      20";"      10"
"314";"WK014112  ";"WK014112  ";"    1080";"    2060";"    1290"
"315";"BU01411200";"BU01411200";"     300";"     480";"     220"
"316";"BU01411201";"BU01411201";"     310";"     610";"     550"
"317";"BU01411202";"BU01411202";"     330";"     620";"     210"
"318";"BU01411203";"BU01411203";"      80";"     250";"     200"
"319";"BU01411204";"BU01411204";"      10";"      30";"      10"
"320";"BU01411205";"BU01411205";"       .";"       .";"       ."
"321";"BU01411206";"BU01411206";"      40";"      60";"      50"
"322";"BU01411209";"BU01411209";"       .";"       .";"       ."
"323";"WK014113  ";"WK014113  ";"    1620";"    2100";"    1180"
"324";"BU01411300";"BU01411300";"     370";"     480";"     270"
"325";"BU01411301";"BU01411301";"     150";"     440";"     400"
"326";"BU01411302";"BU01411302";"     250";"     300";"      50"
"327";"BU01411303";"BU01411303";"     630";"     540";"     120"
"328";"BU01411304";"BU01411304";"      80";"     120";"     160"
"329";"BU01411305";"BU01411305";"     110";"     150";"     180"
"330";"BU01411309";"BU01411309";"      10";"      70";"      30"
"331";"WK014114  ";"WK014114  ";"    1870";"    2080";"     720"
"332";"BU01411400";"BU01411400";"     100";"     150";"     130"
"333";"BU01411401";"BU01411401";"      10";"      20";"      10"
"334";"BU01411402";"BU01411402";"     600";"     350";"      70"
"335";"BU01411403";"BU01411403";"     330";"     230";"      60"
"336";"BU01411404";"BU01411404";"      70";"     150";"     160"
"337";"BU01411405";"BU01411405";"     610";"     630";"     150"
"338";"BU01411406";"BU01411406";"     150";"     380";"     120"
"339";"BU01411409";"BU01411409";"      30";"     130";"      30"
"340";"WK014115  ";"WK014115  ";"    1430";"     940";"     160"
"341";"BU01411500";"BU01411500";"     450";"     250";"      40"
"342";"BU01411501";"BU01411501";"     710";"     480";"      80"
"343";"BU01411502";"BU01411502";"     270";"     220";"      40"
"344";"WK014116  ";"WK014116  ";"    2090";"    2240";"     690"
"345";"BU01411600";"BU01411600";"     350";"     320";"      60"
"346";"BU01411601";"BU01411601";"     320";"     320";"     100"
"347";"BU01411602";"BU01411602";"     340";"     240";"      50"
"348";"BU01411603";"BU01411603";"     280";"     400";"     150"
"349";"BU01411604";"BU01411604";"     480";"     720";"     150"
"350";"BU01411605";"BU01411605";"     330";"     240";"     180"
"351";"WK014117  ";"WK014117  ";"     590";"    1200";"     920"
"352";"BU01411700";"BU01411700";"      90";"     190";"     210"
"353";"BU01411701";"BU01411701";"     210";"     390";"     200"
"354";"BU01411702";"BU01411702";"      60";"      90";"     130"
"355";"BU01411703";"BU01411703";"     190";"     400";"     320"
"356";"BU01411709";"BU01411709";"      40";"     130";"      70"
"357";"WK014118  ";"WK014118  ";"    2730";"    3590";"    1580"
"358";"BU01411800";"BU01411800";"       .";"       .";"       ."
"359";"BU01411801";"BU01411801";"     530";"     410";"      90"
"360";"BU01411802";"BU01411802";"     500";"     710";"     270"
"361";"BU01411803";"BU01411803";"     540";"     520";"     180"
"362";"BU01411804";"BU01411804";"     250";"     480";"     260"
"363";"BU01411805";"BU01411805";"     650";"    1040";"     600"
"364";"BU01411806";"BU01411806";"       .";"       .";"       ."
"365";"WK014119  ";"WK014119  ";"    2890";"    4980";"    2970"
"366";"BU01411900";"BU01411900";"      30";"     100";"     210"
"367";"BU01411901";"BU01411901";"     410";"     520";"     170"
"368";"BU01411902";"BU01411902";"     460";"     540";"     150"
"369";"BU01411903";"BU01411903";"     440";"     550";"     310"
"370";"BU01411904";"BU01411904";"     170";"     500";"     300"
"371";"BU01411905";"BU01411905";"     250";"     470";"     230"
"372";"BU01411906";"BU01411906";"     350";"     840";"     560"
"373";"BU01411907";"BU01411907";"     240";"     430";"     180"
"374";"BU01411908";"BU01411908";"       .";"       .";"       ."
"375";"BU01411909";"BU01411909";"     480";"     990";"     830"
"376";"BU01411910";"BU01411910";"       .";"       .";"       ."
"377";"BU01411920";"BU01411920";"       .";"       .";"       ."
"378";"WK014120  ";"WK014120  ";"     360";"     530";"     250"
"379";"BU01412000";"BU01412000";"      50";"     160";"      90"
"380";"BU01412001";"BU01412001";"     320";"     360";"     150"
"381";"WK014121  ";"WK014121  ";"     340";"     720";"     430"
"382";"BU01412100";"BU01412100";"     190";"     440";"     250"
"383";"BU01412109";"BU01412109";"     150";"     280";"     180"
"384";"GM0034    ";"GM0034    ";"   45730";"   73890";"   48380"
"385";"WK003401  ";"WK003401  ";"    5350";"    7530";"    4940"
"386";"BU00340101";"BU00340101";"     420";"     430";"     270"
"387";"BU00340102";"BU00340102";"     800";"     880";"     490"
"388";"BU00340103";"BU00340103";"     650";"     850";"     330"
"389";"BU00340104";"BU00340104";"     420";"     750";"     540"
"390";"BU00340105";"BU00340105";"     500";"     790";"     440"
"391";"BU00340106";"BU00340106";"     590";"     980";"     660"
"392";"BU00340107";"BU00340107";"     510";"    1040";"     590"
"393";"BU00340108";"BU00340108";"    1030";"    1230";"     410"
"394";"BU00340109";"BU00340109";"     270";"     340";"     600"
"395";"BU00340110";"BU00340110";"      30";"      80";"     280"
"396";"BU00340111";"BU00340111";"     190";"     200";"     180"
"397";"BU00340171";"BU00340171";"       .";"       .";"       ."
"398";"BU00340173";"BU00340173";"       .";"       .";"       ."
"399";"BU00340199";"BU00340199";"       .";"       .";"       ."
"400";"WK003402  ";"WK003402  ";"   23820";"   37940";"   23810"
"401";"BU00340201";"BU00340201";"     900";"    1480";"    1520"
"402";"BU00340202";"BU00340202";"    2060";"    3760";"    2570"
"403";"BU00340203";"BU00340203";"    1410";"    2080";"    1040"
"404";"BU00340204";"BU00340204";"     940";"    1880";"    1480"
"405";"BU00340205";"BU00340205";"     730";"    1280";"     860"
"406";"BU00340206";"BU00340206";"    1830";"    2670";"    1460"
"407";"BU00340207";"BU00340207";"    1560";"    2240";"    1110"
"408";"BU00340208";"BU00340208";"    1870";"    3320";"    2480"
"409";"BU00340209";"BU00340209";"     710";"     880";"     330"
"410";"BU00340210";"BU00340210";"    1980";"    2920";"    1340"
"411";"BU00340211";"BU00340211";"    3160";"    3530";"    1210"
"412";"BU00340212";"BU00340212";"    2030";"    3820";"    2700"
"413";"BU00340213";"BU00340213";"    1350";"    2470";"    1120"
"414";"BU00340214";"BU00340214";"    1990";"    3470";"    2110"
"415";"BU00340215";"BU00340215";"    1290";"    2120";"    2440"
"416";"BU00340271";"BU00340271";"       .";"       .";"       ."
"417";"BU00340272";"BU00340272";"       .";"       .";"       ."
"418";"BU00340273";"BU00340273";"       .";"       .";"       ."
"419";"BU00340274";"BU00340274";"       .";"       .";"       ."
"420";"BU00340275";"BU00340275";"       .";"       .";"       ."
"421";"BU00340276";"BU00340276";"       .";"       .";"       ."
"422";"BU00340299";"BU00340299";"       .";"       .";"       ."
"423";"WK003403  ";"WK003403  ";"   12750";"   20730";"   11350"
"424";"BU00340301";"BU00340301";"     470";"     860";"     420"
"425";"BU00340302";"BU00340302";"    1370";"    2100";"    1120"
"426";"BU00340303";"BU00340303";"     970";"    1970";"    1070"
"427";"BU00340304";"BU00340304";"    1240";"    1260";"     570"
"428";"BU00340305";"BU00340305";"    1030";"    1760";"     630"
"429";"BU00340306";"BU00340306";"     670";"    1600";"     900"
"430";"BU00340307";"BU00340307";"    1030";"    1620";"     860"
"431";"BU00340308";"BU00340308";"    1270";"    1860";"     940"
"432";"BU00340309";"BU00340309";"    1220";"    1910";"    1120"
"433";"BU00340310";"BU00340310";"     590";"     950";"     440"
"434";"BU00340311";"BU00340311";"    1320";"    1990";"    1430"
"435";"BU00340312";"BU00340312";"    1410";"    2340";"    1480"
"436";"BU00340313";"BU00340313";"     180";"     370";"     250"
"437";"BU00340371";"BU00340371";"       .";"       .";"       ."
"438";"BU00340372";"BU00340372";"       .";"       .";"       ."
"439";"BU00340373";"BU00340373";"      40";"      60";"      60"
"440";"BU00340399";"BU00340399";"       .";"       .";"       ."
"441";"WK003404  ";"WK003404  ";"    3050";"    5540";"    5380"
"442";"BU00340401";"BU00340401";"    1010";"    1550";"    1010"
"443";"BU00340402";"BU00340402";"     550";"     980";"     770"
"444";"BU00340403";"BU00340403";"     950";"    1980";"    2390"
"445";"BU00340404";"BU00340404";"       .";"       .";"       ."
"446";"BU00340405";"BU00340405";"     370";"     730";"     950"
"447";"BU00340406";"BU00340406";"       .";"       .";"       ."
