"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"16770";"BU02970009";"BU02970009";"      30";"      40";"      70"
"16771";"WK029701  ";"WK029701  ";"    2250";"    2970";"     950"
"16772";"BU02970100";"BU02970100";"     590";"     870";"     430"
"16773";"BU02970101";"BU02970101";"     220";"     170";"      70"
"16774";"BU02970102";"BU02970102";"     440";"     640";"     100"
"16775";"BU02970103";"BU02970103";"     330";"     510";"     130"
"16776";"BU02970104";"BU02970104";"       .";"       .";"       ."
"16777";"BU02970105";"BU02970105";"     180";"     250";"     100"
"16778";"BU02970106";"BU02970106";"     110";"     170";"      40"
"16779";"BU02970107";"BU02970107";"     110";"     180";"      90"
"16780";"BU02970108";"BU02970108";"       .";"       .";"       ."
"16781";"BU02970109";"BU02970109";"     180";"     120";"      20"
"16782";"WK029702  ";"WK029702  ";"    1490";"    2210";"     920"
"16783";"BU02970200";"BU02970200";"      90";"     140";"     100"
"16784";"BU02970201";"BU02970201";"     350";"     490";"     210"
"16785";"BU02970202";"BU02970202";"      50";"     120";"      40"
"16786";"BU02970203";"BU02970203";"     560";"     650";"     370"
"16787";"BU02970204";"BU02970204";"     110";"     220";"      60"
"16788";"BU02970207";"BU02970207";"      70";"      70";"      50"
"16789";"BU02970208";"BU02970208";"     120";"     150";"      50"
"16790";"BU02970209";"BU02970209";"     140";"     340";"      60"
"16791";"WK029703  ";"WK029703  ";"     460";"     550";"     200"
"16792";"BU02970300";"BU02970300";"     370";"     420";"     130"
"16793";"BU02970301";"BU02970301";"       .";"       .";"       ."
"16794";"BU02970309";"BU02970309";"       .";"       .";"       ."
"16795";"GM0473    ";"GM0473    ";"    3430";"    5030";"    4390"
"16796";"WK047301  ";"WK047301  ";"    2050";"    2580";"    1260"
"16797";"BU04730101";"BU04730101";"     280";"     460";"     390"
"16798";"BU04730102";"BU04730102";"     240";"     420";"     270"
"16799";"BU04730103";"BU04730103";"     580";"     850";"     190"
"16800";"BU04730104";"BU04730104";"       .";"       .";"       ."
"16801";"BU04730105";"BU04730105";"     880";"     810";"     430"
"16802";"BU04730106";"BU04730106";"       .";"       .";"       ."
"16803";"BU04730107";"BU04730107";"       .";"       .";"       ."
"16804";"WK047302  ";"WK047302  ";"    1300";"    2230";"    2770"
"16805";"BU04730201";"BU04730201";"      50";"     120";"     270"
"16806";"BU04730202";"BU04730202";"      20";"      80";"      90"
"16807";"BU04730203";"BU04730203";"     450";"     780";"     950"
